Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Dacia;Duster;2016;92.000;Crossover;90;Önden Çekiş;Gri;879.999
Peugeot;2008;2016;94.000;Crossover;102;Önden Çekiş;Gri;920.000
Dacia;Duster;2023;14.000;Crossover;150;Önden Çekiş;Yeşil;1.350.000
Chery;Tiggo 7 Pro;2024;10.300;Crossover;185;Önden Çekiş;Beyaz;1.470.000
Ford;Kuga;2024;6.001;Crossover;182;Önden Çekiş;Mavi;2.150.000
Hyundai;Tucson;2020;108.000;Crossover;136;Önden Çekiş;Beyaz;1.560.000
MG;HS;2023;23.500;Crossover;162;Önden Çekiş;Beyaz;1.500.000
BMW;X1;2017;93.000;Crossover;136;Önden Çekiş;Beyaz;1.600.000
Volkswagen;Taigo;2022;32.000;Crossover;110;Önden Çekiş;Yeşil;1.335.000
Kia;Sorento;2008;140.000;Crossover;170;4WD (Sürekli);Siyah;760.000
Hyundai;Bayon;2021;41.260;Crossover;100;Önden Çekiş;Kırmızı;1.160.000
Fiat;Egea Cross;2022;70.650;Crossover;130;Önden Çekiş;Turuncu;1.110.000
Hyundai;Tucson;2020;64.000;Crossover;136;Önden Çekiş;Gri;1.635.000
MG;HS;2023;15.000;Crossover;162;Önden Çekiş;Gri (metalik);1.465.000
Seat;Ateca;2018;56.000;Crossover;150;Önden Çekiş;Beyaz;1.450.000
Kia;Sportage;2020;54.000;Crossover;136;Önden Çekiş;Siyah;1.510.000
Nissan;Qashqai;2017;55.950;Crossover;115;Önden Çekiş;Kahverengi;1.240.000
Nissan;Qashqai;2018;106.500;Crossover;110;Önden Çekiş;Beyaz;1.230.000
Peugeot;408;2023;32.500;Crossover;132;Önden Çekiş;Gri (Gümüş);1.570.000
Skoda;Kamiq;2024;12.500;Crossover;110;Önden Çekiş;Gri (Gümüş);1.495.000
Hyundai;Kona;2020;81.000;Crossover;136;Önden Çekiş;Gri (metalik);1.215.000
Land Rover;Range Rover Sport;2019;83.312;Crossover;300;4WD (Sürekli);Beyaz;5.350.000
Honda;CR-V;2022;49.000;Crossover;193;4WD (Sürekli);Mavi (metalik);2.100.000
Ford;EcoSport;2020;46.000;Crossover;125;Önden Çekiş;Kahverengi;1.050.000
Citroen;C5 Aircross;2022;67.700;Crossover;180;Önden Çekiş;Mavi (metalik);1.695.000
Peugeot;408;2023;18.000;Crossover;132;Önden Çekiş;Kırmızı;1.740.000
Volkswagen;Tiguan;2020;47.000;Crossover;150;Önden Çekiş;Gri (metalik);2.075.000
Land Rover;Range Rover Evoque;2021;60.000;Crossover;160;Önden Çekiş;Gri (metalik);2.950.000
Volkswagen;T-Cross;2023;16.200;Crossover;110;Önden Çekiş;Lacivert;1.400.000
Mitsubishi;Ouander;2014;129.000;Crossover;150;4WD (Sürekli);Beyaz;1.175.000
Land Rover;Freelander;2011;260.000;Crossover;190;4WD (Sürekli);Siyah;840.000
Peugeot;2008;2018;78.300;Crossover;102;Önden Çekiş;Beyaz;950.000
Fiat;Egea Cross;2023;10.000;Crossover;95;Önden Çekiş;Beyaz;945.000
Renault;Captur;2014;127.000;Crossover;90;Önden Çekiş;Kırmızı;1.060.000
Hyundai;Bayon;2023;23.000;Crossover;100;Önden Çekiş;Beyaz;1.190.000
Peugeot;2008;2020;40.400;Crossover;102;Önden Çekiş;Füme;1.050.000
Peugeot;3008;2023;30.000;Crossover;132;Önden Çekiş;Lacivert;1.660.000
Hyundai;Bayon;2021;57.394;Crossover;100;Önden Çekiş;Yeşil;1.050.000
Opel;Mokka;2023;26.000;Crossover;130;Önden Çekiş;Beyaz;1.350.000
Jeep;Avenger Electric;2023;29.000;Crossover;156;Önden Çekiş;Kırmızı;1.370.000
Chery;Omoda 5;2023;29.500;Crossover;185;Önden Çekiş;Siyah;1.325.000
Peugeot;2008;2021;21.067;Crossover;132;Önden Çekiş;Turuncu;1.325.000
Volkswagen;Tiguan;2020;27.500;Crossover;150;Önden Çekiş;Gri;1.800.000
TOGG;T10X;2023;18.000;Crossover;218;Arkadan İtiş;Lacivert;1.380.000
Volkswagen;T-Roc;2021;71.150;Crossover;150;Önden Çekiş;Beyaz;1.470.000
Peugeot;3008;2020;60.000;Crossover;132;Önden Çekiş;Mavi (metalik);1.680.000
Hyundai;Kona;2021;56.300;Crossover;136;Önden Çekiş;Gri (titanyum);1.340.000
Toyota;C-HR;2021;33.000;Crossover;98;Önden Çekiş;Gri (metalik);1.490.000
Chery;Omoda 5;2023;12.800;Crossover;185;Önden Çekiş;Yeşil;1.362.500
Peugeot;e-3008;2024;6.001;Crossover;213;Önden Çekiş;Mavi;1.720.000
Peugeot;e-3008;2024;6.066;Crossover;213;Önden Çekiş;Beyaz;1.730.000
Ford;Puma;2023;11.700;Crossover;95;Önden Çekiş;Beyaz;1.080.000
Fiat;Egea Cross;2024;10.000;Crossover;95;Önden Çekiş;Mavi;1.025.000
